NDB_No,Seq,Amount,Msre_Desc,Gm_Wgt,Num_Data_Pts,Std_Dev
"01024","2",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01024","3",1.0000000000000000e+00,"cubic inch",1.8000000000000000e+01,,
"01024","4",1.0000000000000000e+00,"box",1.1300000000000000e+02,,
"01024","5",1.0000000000000000e+00,"package (8 oz)",2.2700000000000000e+02,,
"01025","1",1.0000000000000000e+00,"cup, diced",1.3200000000000000e+02,,
"01025","2",1.0000000000000000e+00,"cup, shredded",1.1300000000000000e+02,,
"01025","3",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01025","4",1.0000000000000000e+00,"cubic inch",1.7000000000000000e+01,,
"01025","5",1.0000000000000000e+00,"slice (1 oz)",2.8000000000000000e+01,,
"01025","6",1.0000000000000000e+00,"package (6 oz)",1.7000000000000000e+02,,
"01026","1",1.0000000000000000e+00,"cup, shredded",1.1200000000000000e+02,,
"01026","2",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01026","3",6.0000000000000000e+00,"slices",1.7000000000000000e+02,,
"01027","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01027","2",1.0000000000000000e+00,"cubic inch",1.8000000000000000e+01,,
"01028","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01029","1",1.0000000000000000e+00,"cup, diced",1.3200000000000000e+02,,
"01029","2",1.0000000000000000e+00,"cup, shredded",1.1300000000000000e+02,,
"01029","3",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01029","4",1.0000000000000000e+00,"cubic inch",1.8000000000000000e+01,,
"01029","5",1.0000000000000000e+00,"slice (1 oz)",2.8000000000000000e+01,,
"01030","1",1.0000000000000000e+00,"cup, diced",1.3200000000000000e+02,,
"01030","2",1.0000000000000000e+00,"cup, shredded",1.1300000000000000e+02,,
"01030","3",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01030","4",1.0000000000000000e+00,"cubic inch",1.8000000000000000e+01,,
"01030","5",1.0000000000000000e+00,"slice (1 oz)",2.8000000000000000e+01,,
"01030","6",1.0000000000000000e+00,"package (6 oz)",1.7000000000000000e+02,,
"01031","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01031","2",1.0000000000000000e+00,"package (3 oz)",8.5000000000000000e+01,,
"01032","1",1.0000000000000000e+00,"cup",1.0000000000000000e+02,,
"01032","2",1.0000000000000000e+00,"tbsp",5.0000000000000000e+00,,
"01032","3",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01033","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01033","2",1.0000000000000000e+00,"cubic inch",1.0300000000000001e+01,,
"01033","3",5.0000000000000000e+00,"package (5 oz)",1.4200000000000000e+02,,
"01034","1",1.0000000000000000e+00,"cup, diced",1.3200000000000000e+02,,
"01034","2",1.0000000000000000e+00,"cup, shredded",1.1300000000000000e+02,,
"01034","3",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01034","4",1.0000000000000000e+00,"cubic inch",1.7000000000000000e+01,,
"01034","5",1.0000000000000000e+00,"slice (1 oz)",2.8000000000000000e+01,,
"01034","6",1.0000000000000000e+00,"package (6 oz)",1.7000000000000000e+02,,
"01035","1",1.0000000000000000e+00,"cup, diced",1.3200000000000000e+02,,
"01035","2",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01035","3",1.0000000000000000e+00,"cubic inch",1.7000000000000000e+01,,
"01035","4",1.0000000000000000e+00,"slice (1 oz)",2.8000000000000000e+01,,
"01035","5",1.0000000000000000e+00,"package (6 oz)",1.7000000000000000e+02,,
"01036","1",5.0000000000000000e-01,"cup",1.2400000000000000e+02,,
"01036","2",1.0000000000000000e+00,"cup",2.4600000000000000e+02,,
"01037","1",5.0000000000000000e-01,"cup",1.2400000000000000e+02,,
"01037","2",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01037","3",1.0000000000000000e+00,"cup",2.4600000000000000e+02,,
"01038","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01038","2",5.0000000000000000e+00,"package (5 oz)",1.4200000000000000e+02,,
"01039","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01039","2",1.0000000000000000e+00,"package (3 oz)",8.5000000000000000e+01,,
"01040","1",1.0000000000000000e+00,"cup, diced",1.3200000000000000e+02,,
"01040","2",1.0000000000000000e+00,"cup, melted",2.4400000000000000e+02,,
"01040","3",1.0000000000000000e+00,"cup, shredded",1.0800000000000000e+02,,
"01040","4",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01040","5",1.0000000000000000e+00,"cubic inch",1.5000000000000000e+01,,
"01040","6",1.0000000000000000e+00,"slice (1 oz)",2.8000000000000000e+01,,
"01041","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01041","2",1.0000000000000000e+00,"package (6 oz)",1.7000000000000000e+02,,
"01042","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01042","2",1.0000000000000000e+00,"slice (1 oz)",2.8000000000000000e+01,,
"01042","3",1.0000000000000000e+00,"slice (3/4 oz)",2.1000000000000000e+01,,
"01042","4",1.0000000000000000e+00,"cubic inch",1.8000000000000000e+01,,
"01042","5",1.0000000000000000e+00,"cup, shredded",1.1300000000000000e+02,,
"01042","6",1.0000000000000000e+00,"cup, diced",1.4000000000000000e+02,,
"01042","7",1.0000000000000000e+00,"cup, melted",2.4400000000000000e+02,,
"01043","1",1.0000000000000000e+00,"cup, diced",1.4000000000000000e+02,,
"01043","2",1.0000000000000000e+00,"cup, melted",2.4400000000000000e+02,,
"01043","3",1.0000000000000000e+00,"cup, shredded",1.1300000000000000e+02,,
"01043","4",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01043","5",1.0000000000000000e+00,"cubic inch",1.8000000000000000e+01,,
"01043","6",1.0000000000000000e+00,"slice (3/4 oz)",2.1000000000000000e+01,,
"01044","1",1.0000000000000000e+00,"cup, diced",1.4000000000000000e+02,,
